,token1,similarity,token2
942,people,4,year
943,people,1,e
944,people,4,A
945,people,4,girl
946,people,4,feet
947,people,3,voice
948,people,5,point
949,people,6,kind
950,people,5,matter
951,people,3,order
952,people,4,Miss
953,people,6,fact
954,people,4,death
955,people,4,war
956,people,5,word
957,people,4,New
958,people,3,case
959,people,2,John
960,people,4,child
961,people,3,boy
962,people,1,St.
963,people,3,body
964,people,3,air
965,people,5,love
966,people,5,money
967,people,4,friend
968,people,5,times
969,people,3,line
970,people,5,right
971,people,4,fire
972,people,3,wife
973,people,6,friends
974,people,6,women
975,people,1,De
976,people,1,M.
977,people,4,States
978,people,4,question
979,people,3,light
980,people,4,business
981,people,5,family
982,people,2,Illustration
983,people,4,number
984,people,2,Sir
985,people,5,use
986,people,3,ground
987,people,4,story
988,people,4,nature
989,people,3,party
990,people,2,England
991,people,2,o
992,people,3,hour
993,people,5,town
994,people,5,city
995,people,6,reason
996,place,4,man
997,place,6,time
998,place,4,men
999,place,1,Mr.
1000,place,6,way
1001,place,6,day
1002,place,5,life
1003,place,2,la
1004,place,5,hand
1005,place,5,people
1006,place,10,place
1007,place,4,years
1008,place,4,eyes
1009,place,5,work
1010,place,3,God
1011,place,5,night
1012,place,6,world
1013,place,6,things
1014,place,4,face
1015,place,4,head
1016,place,1,van
1017,place,5,house
1018,place,4,door
1019,place,6,thing
1020,place,5,home
1021,place,4,water
1022,place,3,father
1023,place,5,course
1024,place,6,moment
1025,place,4,days
1026,place,6,THE
1027,place,5,country
1028,place,4,heart
1029,place,3,son
1030,place,5,mind
1031,place,5,room
1032,place,3,mother
1033,place,4,woman
1034,place,5,hands
1035,place,2,Lord
1036,place,4,morning
1037,place,6,end
1038,place,4,children
1039,place,3,words
1040,place,3,power
1041,place,5,year
1042,place,1,e
1043,place,5,A
1044,place,3,girl
1045,place,3,feet
1046,place,2,voice
1047,place,6,point
1048,place,6,kind
1049,place,5,matter
1050,place,5,order
1051,place,4,Miss
1052,place,5,fact
1053,place,4,death
1054,place,3,war
1055,place,4,word
1056,place,4,New
1057,place,4,case
1058,place,1,John
1059,place,4,child
1060,place,3,boy
1061,place,2,St.
1062,place,4,body
